titles,urls,interactions,imgs
LaLiga launches its Amazon store in collaboration with 13 LaLiga Santander clubs,https://www.laliga.com/en-ES/news/laliga-launches-its-amazon-store-in-collaboration-with-13-laliga-santander-clubs,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Nigeria's Yobo questions 'harsh' Iwobi red card against Tunisia,https://www.goal.com/en-ng/news/afcon-2021-nigeria-yobo-questions-harsh-iwobi-red-card/blt3596d887ee7d5a7a,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Kick-off times for Matchday 22 of LaLiga Santander 2021/22,https://www.laliga.com/en-ES/news/kick-off-times-for-matchday-22-of-laliga-santander-2021-22,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Taylor: WSL title race not over | 'City are back in the game',https://www.skysports.com/football/news/35730/12524370/man-city-women-manager-gareth-taylor-says-womens-super-league-title-race-is-not-over-after-arsenal-women-draw,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"Afcon 2021: Guinea vs The Gambia - Kick-off, TV channel, squad news and preview",https://www.goal.com/en-ng/news/afcon-2021-guinea-vs-the-gambia-kick-off-tv-channel-squad/blte03f9f4aae61783a,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
A deadly duo: Vini Jr and Karim Benzema,https://www.laliga.com/en-ES/news/a-deadly-duo-vini-jr-and-karim-benzema,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
McGrath told to focus on St Mirren,https://www.skysports.com/football/news/36621/12524451/jamie-mcgrath-told-to-focus-on-st-mirren-as-transfer-speculation-continues,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Giant-killers Gambia reach AFCON last eight,https://www.skysports.com/football/guinea-vs-gambia/report/457233,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
The 16 LaLiga Santander & LaLiga SmartBank players competing in AFCON 2021,https://www.laliga.com/en-ES/news/the-16-laliga-santander-and-laliga-smartbank-players-competing-in-afcon-2021,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
EFL delays Derby meeting after 'positive developments',https://www.skysports.com/football/news/30778/12524397/derby-efl-delays-emergency-meeting-about-championship-clubs-future-after-positive-developments,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
LaLiga clubs receive the first payment from Boost LaLiga,https://www.laliga.com/en-ES/news/laliga-clubs-receive-the-first-payment-from-boost-laliga,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
LaLiga's Ultimate Challenge gets 2022 off to a flying start!,https://www.laliga.com/en-ES/news/laligas-ultimate-challenge-gets-2022-off-to-a-flying-start,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
How much do you know about Ferran Torres?,https://www.laliga.com/en-ES/news/how-much-do-you-know-about-ferran-torres,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Juanmi named LaLiga Santander Player of the Month for December,https://www.laliga.com/en-ES/news/juanmi-named-laliga-santander-player-of-the-month-for-december,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Rodrigo Bentancur transfer to Aston Villa: Premier League club step up pursuit of Uruguay midfielder as Juventus wait on bid,https://www.goal.com/en-ng/news/rodrigo-bentancur-transfer-aston-villa-premier-league-club/bltf8b52b5f4b13bb9d,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"Afcon 2021: Cameroon predicted XI vs Comoros - Lethal Aboubakar, Toko Ekambi to start",https://www.goal.com/en-ng/lists/afcon-2021-predict-cameroon-xi-comoros-lethal-aboubakar-toko/blt5c8fa65d8bfc6690,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"Afcon 2021: Revealed Cameroon XI to face Comoros - Aboubakar, Choupo-Moting lead Indomitable Lions attack",https://www.goal.com/en-ng/lists/afcon-2021-revealed-cameroon-xi-to-face-comoros-aboubakar-choupo-/bltd465d6439abd759a,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Explained: Derby boost in fight against liquidation,https://www.skysports.com/watch/video/12524587/explained-derby-boost-in-fight-against-liquidation,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Spurs closing in on £20m Traore deal,https://www.skysports.com/football/news/12040/12524552/adama-traore-tottenham-hotspur-closing-in-on-signing-wolverhampton-wanderers-winger,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Prutton's Championship predictions,https://www.skysports.com/football/news/34681/12524427/david-pruttons-sky-bet-championship-predictions,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Burkina Faso 1-1 Gabon (7-6 pens.): Stallions stun Panthers in dramatic penalty shootout to reach quarters,https://www.goal.com/en-ng/news/burkina-faso-1-1-gabon-7-6-pens-stallions-stun-panthers-in/blt40fe3330bbb45565,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"LaLiga takes pioneering step by adding advanced near real-time goal probability graphics to its broadcasts, thanks to Microsoft technology",https://www.laliga.com/en-ES/news/laliga-takes-pioneering-step-by-adding-advanced-near-real-time-goal-probability-graphics-to-its-broadcasts-thanks-to-microsoft-technology,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
LaLiga launches MBA in Qatar together with local partner Aspire Zone Foundation,https://www.laliga.com/en-ES/news/laliga-launches-mba-in-qatar-together-with-local-partner-aspire-zone-foundation,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Jose Luis Mendilibar named new manager of Alaves,https://www.laliga.com/en-ES/news/jose-luis-mendilibar-named-new-manager-of-alaves,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Nev: Rashford's big moment; Rangnick in control,https://www.skysports.com/football/news/29326/12524163/gary-nevilles-manchester-united-verdict-marcus-rashfords-big-moment-ralf-rangnick-in-control,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Malawi refuse to single out Orlando Pirates’ Mhango,https://www.goal.com/en-ng/news/afcon-2021-malawi-refuse-to-single-out-orlando-pirates/blt4c56707560d80dbd,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Nigeria President Buhari fires up Super Eagles ahead of crunch Tunisia clash,https://www.goal.com/en-ng/news/afcon-2021-nigeria-president-buhari-fires-up-super-eagles/blt8b862581f51517e3,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"Jorge Molina, the hat-trick magician",https://www.laliga.com/en-ES/news/jorge-molina-the-hat-trick-magician,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Shearer: Salisu blocked everything against Man City,https://www.premierleague.com/news/2462465,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Liverpool take advantage of Man City's slip-upExternal Link,https://www.premierleague.com/match/66565,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Guinea 0-1 Gambia: Barrow strike sends Scorpions through to Afcon quarter-finals,https://www.goal.com/en-ng/news/guinea-0-1-gambia-barrow-strike-sends-scorpions-through-to-afcon-/blt1d110118013c3c09,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Ex-Nigeria goalkeeper Shorunmu absolves Okoye of blame for Tunisia loss,https://www.goal.com/en-ng/news/afcon-2021-ex-nigeria-goalkeeper-shorunmu-absolves-okoye-of/blt281e988f0f7541cc,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Five things you didn’t know about Vinicius Jr.,https://www.laliga.com/en-ES/news/five-things-you-didnt-know-about-vinicius-jr,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
January 2022 Latest Transfers & News,https://www.premierleague.com/news/2427036,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Spurs offered chance to sign Angers forward Ali-Cho,https://www.skysports.com/football/news/11675/12524465/tottenham-transfer-news-spurs-offered-chance-to-sign-angers-forward-mohamed-ali-cho,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Geremi reveals his conversation with Cameroon star Aboubakar,https://www.goal.com/en-ng/news/afcon-2021-geremi-reveals-his-conversation-with-cameroon/blt512c7f99364275e2,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Trending: Ghanaians take to social media to mock 'jollof rivals' Nigeria after Afcon elimination,https://www.goal.com/en-ng/news/trending-jollof-rivals-ghanaians-mock-nigeria-afcon/blt1b92c1143259c1de,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Budweiser Kings of the Match: Matchweek 23,https://www.premierleague.com/news/2452282,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Telford seals San Diego Wave transfer from Chelsea to link up with USWNT star Morgan & ex Man Utd boss Stoney,https://www.goal.com/en-ng/news/telford-seals-san-diego-wave-transfer-from-chelsea-to-link/blt33c65b2531d8dcf9,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Ziyech stunner helps Chelsea past SpursExternal Link,https://www.premierleague.com/match/66564,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Nigeria 0-1 Tunisia — What did we learn?,https://www.goal.com/en-ng/lists/afcon-2021-nigeria-0-1-tunisia-what-did-we-learn/blta051bf915ffccb99,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
FPL team news: Tomiyasu out for two weeks,https://www.premierleague.com/news/2452706,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
LIVE: Cameroon v Comoros,https://www.goal.comhttps://www.goal.com/en-ng/match/cameroon-v-comoros/4lt87pyseor28964c11r3h8us,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Man Utd's Martial agrees to pay cut to force Sevilla loan transfer,https://www.goal.com/en-ng/news/man-utd-s-martial-agrees-to-pay-cut-to-force-sevilla-loan/blt6b83e6f1ab9b66a9,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Cristhian Stuani named LaLiga SmartBank Player of the Month for December,https://www.laliga.com/en-ES/news/cristhian-stuani-named-laliga-smartbank-player-of-the-month-for-december,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Confusion in Comoros keeper crisis as Ahamada tests negative & travels but doesn't meet isolation criteria,https://www.goal.com/en-ng/news/afcon-2021-comoros-goalkeeper-ahamada-covid-negative-vs/blt00b932ab08702ff6,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
An exciting end of year for LaLiga’s Ultimate Challenge,https://www.laliga.com/en-ES/news/an-exciting-end-of-year-for-laligas-ultimate-challenge,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Hukum builds towards Dubai Sheema Classic bid,https://www.skysports.com/racing/news/12040/12525782/hukum-building-up-towards-sheema-classic-assignment,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Morocco 2-1 Malawi: Hakimi douses Flames as Atlas Lions book Afcon quarter-final spot,https://www.goal.com/en-ng/news/morocco-2-1-malawi-atlas-lions-douse-flames-and-book-afcon/blt71f8b5b7991136ef,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Pulisic out to put Chelsea struggles behind him by taking USMNT lead role once more,https://www.goal.com/en-ng/news/pulisic-chelsea-struggles-usmnt-lead-role/bltec6bd354be93ba6d,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Egypt fans should support national team and not a specific player – Salah,https://www.goal.com/en-ng/news/afcon-2021-salah-egypt-fans-should-support-national-team/blt84015585e1059e32,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
"World Cup 2022 winner odds: Favourites, contenders & outsiders to win Qatar tournament",https://www.goal.com/en-ng/news/world-cup-2022-winner-odds-favourites-contenders-outsiders/bltbfa10ea3f830e2e9,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Aubameyang left out of Arsenal squad for Dubai training camp,https://www.skysports.com/football/news/11095/12525804/arsenal-transfer-news-pierre-emerick-aubameyang-left-out-of-squad-for-dubai-training-camp,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
McIlroy wants to recreate Tiger inspiration in Dubai,https://www.skysports.com/golf/news/12176/12525745/rory-mcilroy-says-he-hopes-he-can-inspire-like-tiger-woods-at-the-dubai-dessert-classic,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon title would be crowning glory for Salah,https://www.goal.com/en-ng/news/afcon-title-would-be-crowning-glory-for-salah/blteadf548b9a908a0d,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Kick-off times for Matchday 23 of LaLiga Santander 2021/22,https://www.laliga.com/en-ES/news/kick-off-times-for-matchday-2-of-laliga-santander-2021-22,0,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
Afcon 2021: Predicting Salah's Egypt XI to face Ivory Coast,https://www.goal.com/en-ng/lists/afcon-2021-predicting-salah-egypt-xi-to-face-ivory-coast/bltaeb5f62e1982bdbb,1,https://media.istockphoto.com/vectors/news-vector-id918880270?k=20&m=918880270&s=612x612&w=0&h=bDcgr9jhiRYCPMUhVdLKD5ouIc5daM4qMcaPPapppQI=
